p,a,delta,J,MOM,MOM_nrmse,MLE,MLE_nrmse,ABC-MCMC,ABC-MCMC_nrmse,GPS-ABC,GPS-ABC_nrmse,DNN-ABC,DNN-ABC_nrmse
0.001,1.0,1.0,50,2.678013483868196e-07,0.5174952641201845,3.088193399617165e-07,0.5557151608168671,1.8113358115345881e-07,0.42559791018455295,2.1559566591182053e-07,0.4643228035664634,1.802237866589912e-07,0.424527721896923
0.001,1.0,1.0,100,1.3496321168564372e-07,0.36737339545160824,1.6457657185804529e-07,0.40568038140640383,3.1909991314879495e-08,0.1786336791170117,5.782311263777804e-08,0.2404643687488399,3.3211587559025854e-08,0.18224046630489577
0.001,1.5,1.5,50,0.00016894876077887329,12.998029111325812,0.00019531248248781533,13.975424232838705,1.7141214225758495e-07,0.4140194950211704,1.976509362842412e-07,0.44457950502046445,1.6909309539586124e-07,0.41120930849855675
0.001,1.5,1.5,100,0.00010057148723096853,10.02853365308052,0.00011711257312784947,10.821856269968174,9.594561892301006e-08,0.30975089817950496,8.045698548923681e-08,0.2836494059384521,7.670697035345316e-08,0.27696023244042306
0.001,1.0,0.5,50,5.426077139525362e-07,0.7366191104991345,5.142847605785039e-07,0.7171365006597447,3.722770804668534e-08,0.19294483161433826,6.223191389807658e-08,0.24946325159846006,3.75600477056564e-08,0.19380414780302405
0.001,1.0,0.5,100,5.320538438507326e-07,0.7294202107501083,5.031045442038578e-07,0.7092986283673879,3.2530278692504025e-08,0.180361522206107,4.4910008128358604e-08,0.21191981532730395,2.9236713074536865e-08,0.17098746467076723
0.01,1.0,1.0,50,1.076132992304865e-05,0.3280446604206301,1.6118080578213756e-05,0.4014732939837189,8.923305456609236e-06,0.2987190227723912,6.7060772426037815e-06,0.2589609476852404,9.795490930870416e-06,0.3129774900990551
0.01,1.0,1.0,100,4.477584081342409e-06,0.21160302647510523,7.061934604034261e-06,0.26574300750977925,2.8592416395719476e-06,0.1690929223702739,2.61831640744025e-06,0.16181212585712634,2.698841594110189e-06,0.16428151430121982
0.01,1.5,1.5,50,0.0008578773994515024,2.928954420013228,0.0011073325123030096,3.3276606081495297,1.1107677582395845e-05,0.3332818264231617,6.570867547924797e-06,0.25633703493496207,1.201728713222046e-05,0.34665958997582136
0.01,1.5,1.5,100,0.0009441498078874597,3.072702081047656,0.001219555734485919,3.4922138171737407,2.9580052851530054e-06,0.17198852534843728,3.2003151137874626e-06,0.1788942456812813,2.979915150992877e-06,0.17262430741332105
0.01,1.0,0.5,50,3.9789644117347616e-05,0.6307903305960516,3.497662309296382e-05,0.5914103743845202,3.9085372955697595e-06,0.19770020980185526,3.4067239100282787e-06,0.18457312670126924,3.864208762368409e-06,0.1965759080449181
0.01,1.0,0.5,100,4.197850120373059e-05,0.6479081817953111,3.7323768585869666e-05,0.6109318176840167,1.4863632869747019e-06,0.1219164995796181,1.6994353179375485e-06,0.1303623917369403,1.6673067154081143e-06,0.12912423147527788
