p,a,delta,J,ABC-MCMC,GPS-ABC,DNN-ABC
0.001,1.0,1.0,50,0.001392011414647368,0.0022009956981597877,0.0009519338059030055
0.001,1.0,1.0,100,0.0009127860260180853,0.0018087762009573877,0.0008448300976051132
0.001,1.5,1.5,50,0.001346854903521542,0.002307745105892242,0.0010056066805516671
0.001,1.5,1.5,100,0.0012037780741850261,0.00250535286860926,0.0011072058073038319
0.001,1.0,0.5,50,0.0009903190535476762,0.0018428657589738356,0.0006331338103626944
0.001,1.0,0.5,100,0.0006846738286658838,0.0020127874524196454,0.0006285505148583134
0.01,1.0,1.0,50,0.010528851047691992,0.02010697898097013,0.007231157910630901
0.01,1.0,1.0,100,0.007486992002587768,0.019576222356904444,0.0070083854429490965
0.01,1.5,1.5,50,0.012309661054163756,0.019838740956166143,0.00903264641579041
0.01,1.5,1.5,100,0.009364236004649118,0.021797221806777775,0.008758078772238637
0.01,1.0,0.5,50,0.00847281237698455,0.02011300565058388,0.006073880203300942
0.01,1.0,0.5,100,0.006304783502165329,0.02092588973159735,0.006181206287275668
