p,J,ABC-MCMC,GPS-ABC,DNN-ABC
0.0001,10,0.0002388598086930917,0.00011439561928423482,0.0001035578031588706
0.0001,50,0.00015581066454004014,0.00011110426030841585,0.00011323214215343989
0.0001,100,0.00012120739579559612,0.00012296214720965203,0.00011906512225167208
0.001,10,0.0025055628779172053,0.0013233993017643813,0.0008864222895383264
0.001,50,0.001533593372038777,0.0013188179726186266,0.0008943726621131012
0.001,100,0.0009515483385919643,0.0011884964557305352,0.0008341422559048986
0.01,10,0.007965053447736445,0.004695967019838971,0.0025063178021189703
0.01,50,0.005149135904689812,0.005103925541432824,0.0028022135840093535
0.01,100,0.0038892632294054708,0.005237592329444013,0.0030544000008063113
